candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
6	OVA-C4-IPTM90-331	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.134385585784912	1.093557357788086	1.1477066278457642	1.109453558921814	1.1868246793746948	0.09326732158660889
6	OVA-C4-IPTM90-331	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1136608123779297	1.1914252042770386	1.0590360164642334	1.0034242868423462	1.2007575035095215	0.1973332166671753
6	OVA-C4-IPTM90-331	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1431397199630737	1.1576191186904907	1.0678287744522095	1.2048557996749878	1.1422550678253174	0.13702702522277832
6	OVA-C4-IPTM90-331	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1016353368759155	0.9580256938934326	1.2589492797851562	1.0862581729888916	1.1033079624176025	0.30092358589172363
7	OVA-C4-IPTM90-124	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1413809061050415	1.106202244758606	1.1654994487762451	1.1114766597747803	1.1823453903198242	0.07614314556121826
7	OVA-C4-IPTM90-124	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.122544527053833	1.1893043518066406	1.084633469581604	1.0039228200912476	1.2123175859451294	0.20839476585388184
7	OVA-C4-IPTM90-124	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.152915120124817	1.1709543466567993	1.0813792943954468	1.2027548551559448	1.1565722227096558	0.12137556076049805
7	OVA-C4-IPTM90-124	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1140354871749878	0.9660784602165222	1.2745771408081055	1.1080760955810547	1.107410192489624	0.30849868059158325
8	OVA-C4-IPTM90-170	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1503578424453735	1.1004325151443481	1.18535315990448	1.1176100969314575	1.1980353593826294	0.09760284423828125
8	OVA-C4-IPTM90-170	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1217409372329712	1.1800248622894287	1.0877184867858887	1.0066843032836914	1.2125364542007446	0.20585215091705322
8	OVA-C4-IPTM90-170	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1491236686706543	1.1443157196044922	1.078098177909851	1.2213871479034424	1.152693510055542	0.1432889699935913
8	OVA-C4-IPTM90-170	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.141538381576538	1.0651371479034424	1.2657414674758911	1.1294194459915161	1.1058554649353027	0.20060431957244873
9	OVA-C4-IPTM90-433	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.142071008682251	1.1057463884353638	1.0952969789505005	1.1604171991348267	1.206823468208313	0.1115264892578125
9	OVA-C4-IPTM90-433	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1185314655303955	1.1909797191619873	1.081039309501648	1.0087817907333374	1.193325161933899	0.18454337120056152
9	OVA-C4-IPTM90-433	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.144412875175476	1.1822093725204468	1.0070743560791016	1.1983287334442139	1.190039038658142	0.1912543773651123
9	OVA-C4-IPTM90-433	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0984970331192017	0.9613901376724243	1.2215356826782227	1.1118531227111816	1.0992090702056885	0.26014554500579834
