source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-21E__Protenix	A-D	SaltBridge	2	2
OVA-C4-IPTM80-21E__Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-21E__Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	A-D	VdWContact	20	68
OVA-C4-IPTM80-21E__Protenix	B-C	Hydrophobic	8	12
OVA-C4-IPTM80-21E__Protenix	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-21E__Protenix	B-C	SaltBridge	2	2
OVA-C4-IPTM80-21E__Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-21E__Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	B-C	VdWContact	20	81
OVA-C4-IPTM80-21E__Protenix	B-D	Hydrophobic	6	8
OVA-C4-IPTM80-21E__Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-21E__Protenix	B-D	SaltBridge	0	0
OVA-C4-IPTM80-21E__Protenix	B-D	PiStacking	2	2
OVA-C4-IPTM80-21E__Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	B-D	VdWContact	19	82
OVA-C4-IPTM80-21E__Protenix	C-D	Hydrophobic	0	0
OVA-C4-IPTM80-21E__Protenix	C-D	HydrogenBond	1	1
OVA-C4-IPTM80-21E__Protenix	C-D	SaltBridge	2	4
OVA-C4-IPTM80-21E__Protenix	C-D	PiStacking	0	0
OVA-C4-IPTM80-21E__Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-21E__Protenix	C-D	VdWContact	2	7
OVA-C4-IPTM80-19F__AF3	A-B	Hydrophobic	8	12
OVA-C4-IPTM80-19F__AF3	A-B	HydrogenBond	3	3
OVA-C4-IPTM80-19F__AF3	A-B	SaltBridge	2	4
OVA-C4-IPTM80-19F__AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-19F__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-19F__AF3	A-B	VdWContact	12	29
OVA-C4-IPTM80-19F__AF3	A-C	Hydrophobic	8	14
OVA-C4-IPTM80-19F__AF3	A-C	HydrogenBond	1	1
OVA-C4-IPTM80-19F__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-19F__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-19F__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-19F__AF3	A-C	VdWContact	21	39
OVA-C4-IPTM80-19F__AF3	A-D	Hydrophobic	4	9
OVA-C4-IPTM80-19F__AF3	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-19F__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-19F__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-19F__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-19F__AF3	A-D	VdWContact	9	41
OVA-C4-IPTM80-19F__AF3	B-C	Hydrophobic	4	7
OVA-C4-IPTM80-19F__AF3	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-19F__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-19F__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-19F__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-19F__AF3	B-C	VdWContact	10	38
OVA-C4-IPTM80-19F__AF3	B-D	Hydrophobic	8	14
OVA-C4-IPTM80-19F__AF3	B-D	HydrogenBond	1	1
OVA-C4-IPTM80-19F__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-19F__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-19F__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-19F__AF3	B-D	VdWContact	21	39
OVA-C4-IPTM80-19F__AF3	C-D	Hydrophobic	8	12
OVA-C4-IPTM80-19F__AF3	C-D	HydrogenBond	3	3
